timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1557434209720,1007,Cinema,200,OK,Users 1-1,text,true,,9926,131,10,10,http://localhost:8181/cinema/movies,1007,0,44
1557434210032,697,Cinema,200,OK,Users 1-6,text,true,,9926,131,10,10,http://localhost:8181/cinema/movies,697,0,1
1557434210136,590,Cinema,200,OK,Users 1-7,text,true,,9926,131,10,10,http://localhost:8181/cinema/movies,589,0,2
1557434210459,272,Cinema,200,OK,Users 1-10,text,true,,9926,131,8,8,http://localhost:8181/cinema/movies,272,0,1
1557434209744,989,Cinema,200,OK,Users 1-3,text,true,,9926,131,6,6,http://localhost:8181/cinema/movies,989,0,30
1557434210341,402,Cinema,200,OK,Users 1-9,text,true,,9926,131,5,5,http://localhost:8181/cinema/movies,402,0,5
1557434209942,803,Cinema,200,OK,Users 1-5,text,true,,9926,131,4,4,http://localhost:8181/cinema/movies,803,0,0
1557434209730,1015,Cinema,200,OK,Users 1-2,text,true,,9926,131,4,4,http://localhost:8181/cinema/movies,1015,0,44
1557434210238,509,Cinema,200,OK,Users 1-8,text,true,,9926,131,3,3,http://localhost:8181/cinema/movies,509,0,1
1557434209831,918,Cinema,200,OK,Users 1-4,text,true,,9926,131,2,2,http://localhost:8181/cinema/movies,917,0,1
